Unnamed: 0,st,ax,ay,az,gx,gy,gz,mx,my,mz,AccTotal,GyrTotal,MagTotal,lat,lng
175900,175900.0,1.5757903999999998,-9.340958,0.22366333,0.21633911,0.62953186,0.012573242,-26.812820199999997,59.8075103,-141.281359,9.47558109182138,0.6657860464781777,155.74440847383948,34.850749999999486,26.63663888888896
176000,176000.0,2.277298,-9.131454,0.7743225,0.32818604,0.47080994,0.23309326,-25.38337685,59.53506495000001,-142.45979499999999,9.442939884851867,0.6194356659985868,156.47230806029327,34.83249999999949,26.70250000000007
176100,176100.0,2.0618133999999997,-9.421158,1.1957091999999998,0.25256348,0.111816406,0.500473,-22.59964015,58.75358610000001,-144.09583999999998,9.717973711034016,0.5716331374312262,157.24641033409026,34.81424999999949,26.76836111111118
176200,176200.0,1.5482635,-9.7000885,0.9335479999999999,0.2110138,0.70622253,0.31510925,-19.54369726315789,58.267050947368425,-145.05326052631574,9.867134773659904,0.8016052177385097,157.53573643133058,34.79599999999949,26.83422222222229
176300,176300.0,4.265671,-10.828949,1.5680083999999999,-0.12667847,0.41114807,0.19580078,-16.479492800000006,57.9254152,-144.851685,11.743965934355929,0.4726818334512912,156.87254924893097,34.77774999999949,26.9000833333334
176400,176400.0,2.3263702,-11.295822,-2.2663116000000003,-1.552002,-0.5348053,-0.9269867,-18.5760495,60.2999877,-141.700744,11.753457416072369,1.8852138496438489,155.11503364759315,34.759499999999484,26.965944444444514
176500,176500.0,-0.38745117,-10.391998,0.61750793,-1.8811646,0.47932434,-0.46466064,-23.299255600000002,63.775940000000006,-130.745546,10.417536027523557,1.9961066067659825,147.32519446140205,34.74124999999948,27.031805555555625
176600,176600.0,0.96287537,-8.702896,0.16859436,-0.6795502,-0.29618835,-0.71073914,-25.9655764,64.72335799999999,-122.90298600000001,8.757622498326384,1.0269693949303953,141.3099769533331,34.72299999999948,27.097666666666736
176700,176700.0,-0.013655090849999996,-6.9411270100000015,-1.097758465,0.363607025,-0.472380831,-0.4810104375,-29.384461,64.91454900000001,-123.027953,7.0276106455231115,0.7694961202346591,142.17329165814502,34.70474999999948,27.163527777777855
176800,176800.0,1.44076229,-8.014086599999999,-2.98253621,0.433229078,-0.239093017,-0.010743713439999995,-30.4264836,65.564116,-125.100249,8.674592049448604,0.4958409724296302,144.48010112685847,34.686499999999484,27.22938888888896
176900,176900.0,5.18457495,-10.4941194,-3.79213108,0.175430303,-0.18347930933,0.06307373,-29.5783993,65.152743,-127.54074240000001,12.30611684735889,0.27126943706809536,146.24091676780537,34.668249999999475,27.29525000000007
177000,177000.0,0.2474914576999998,-5.01450498,-0.8545608440000001,0.466571047,0.283851626,-0.264285282,-31.781311300000002,65.518952,-128.072055,5.1801375141505,0.6445678255116719,147.32699962590289,34.64999999999947,27.361111111111178
177100,177100.0,5.08234241,-15.819780300000001,-7.9645050999999984,0.389231878,-0.85544588,0.508032236,-27.9069521,65.458145,-133.634945,18.443753134053047,1.0726865514599628,151.399821834909,34.63174999999947,27.42697222222229
177200,177200.0,-3.59137264,-7.70368043,3.0351684700000003,0.5537032824000001,0.30099791899999995,0.466592414,-26.14242565,65.5204004,-133.984065,9.088388648728053,0.8494732681569326,151.4206488387405,34.61349999999947,27.492833333333408
